"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Eagle_12BH611-GR",""
"Q1,Q2","2","BC557","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"R1,R3","2","1K","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R2,R4","2","10K","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R5","1","100K","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"SW1","1","Push Button","","","","Footprint_Button_Tactile_6x6mm:Footprint_Button_Tactile_6x6mm",""
"U1","1","ESP32 DEVKIT V1","","","","Footprint_ESP32_DevKitV1_30Pin:ESP32_DevKit_30Pin_Socket",""
"U2","1","INMP441","","","","Footprint_INMP441:INMP441",""
"U3","1","MAX98357","","","","Footprint_MAX98357:MAX98357",""
"U4","1","MP1584","","","","Footprint_MP1584:MP1584",""
